freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.567e+01,5.065e+01,2.449e+02,3.212e+02
1.5,2.863e+01,6.507e+01,1.642e+02,2.579e+02
3.0,1.906e+01,5.333e+01,4.026e+01,1.126e+02
4.5,1.911e+01,5.198e+01,3.335e+02,4.046e+02
6.1,1.782e+01,5.181e+01,1.239e+03,1.309e+03
7.6,2.030e+01,6.549e+01,2.037e+03,2.122e+03
9.1,2.062e+01,6.209e+01,2.848e+03,2.931e+03
10.6,1.991e+01,5.960e+01,3.963e+03,4.043e+03
12.1,2.160e+01,6.537e+01,5.381e+03,5.468e+03
13.6,2.354e+01,6.558e+01,7.041e+03,7.131e+03
15.2,2.412e+01,6.317e+01,8.696e+03,8.783e+03
16.7,2.427e+01,6.385e+01,9.752e+03,9.840e+03
18.2,2.672e+01,6.683e+01,1.147e+04,1.156e+04
19.7,3.904e+01,6.760e+01,1.343e+04,1.354e+04
21.2,4.093e+01,6.041e+01,1.587e+04,1.597e+04
22.7,4.155e+01,5.753e+01,1.910e+04,1.919e+04
24.3,5.043e+01,6.276e+01,2.296e+04,2.307e+04
25.8,6.680e+01,7.698e+01,2.708e+04,2.723e+04
27.3,6.999e+01,9.675e+01,3.164e+04,3.181e+04
28.8,9.259e+01,1.208e+02,3.707e+04,3.728e+04
30.3,1.439e+02,1.710e+02,4.274e+04,4.305e+04
31.8,2.052e+02,2.015e+02,4.813e+04,4.854e+04
33.3,2.644e+02,2.395e+02,5.531e+04,5.581e+04
34.9,3.693e+02,3.382e+02,6.697e+04,6.768e+04
36.4,4.467e+02,4.453e+02,7.798e+04,7.887e+04
37.9,4.300e+02,5.988e+02,9.045e+04,9.148e+04
39.4,7.182e+02,1.204e+03,1.054e+05,1.073e+05
40.9,1.216e+03,1.913e+03,1.212e+05,1.244e+05
42.4,2.246e+03,3.001e+03,1.396e+05,1.448e+05
44.0,4.380e+03,4.966e+03,1.657e+05,1.750e+05
45.5,8.442e+03,7.663e+03,2.134e+05,2.295e+05
47.0,1.520e+04,8.820e+03,2.808e+05,3.048e+05
48.5,2.324e+04,1.018e+04,3.600e+05,3.934e+05
50.0,2.855e+04,1.608e+04,4.708e+05,5.154e+05
51.5,2.535e+04,2.142e+04,6.210e+05,6.678e+05
53.0,1.021e+04,2.133e+04,6.105e+05,6.420e+05
54.6,6.545e+03,2.693e+04,4.534e+05,4.869e+05
56.1,7.300e+03,2.299e+04,2.972e+05,3.275e+05
57.6,6.327e+03,1.566e+04,1.836e+05,2.056e+05
59.1,5.086e+03,1.022e+04,1.304e+05,1.457e+05
60.6,4.176e+03,7.337e+03,9.371e+04,1.052e+05
62.1,3.933e+03,5.453e+03,6.991e+04,7.930e+04
63.7,3.301e+03,4.184e+03,6.608e+04,7.356e+04
65.2,3.696e+03,5.273e+03,8.604e+04,9.501e+04
66.7,6.003e+03,1.134e+04,1.145e+05,1.319e+05
68.2,9.723e+03,2.314e+04,1.275e+05,1.603e+05
69.7,1.229e+04,3.074e+04,1.384e+05,1.815e+05
71.2,1.103e+04,3.118e+04,1.555e+05,1.977e+05
72.8,7.631e+03,2.933e+04,1.480e+05,1.849e+05
74.3,5.843e+03,2.442e+04,1.157e+05,1.460e+05
75.8,5.420e+03,2.190e+04,1.049e+05,1.322e+05
77.3,5.336e+03,2.326e+04,1.053e+05,1.339e+05
78.8,5.816e+03,2.679e+04,1.045e+05,1.371e+05
80.3,7.299e+03,3.567e+04,1.002e+05,1.432e+05
81.8,9.401e+03,4.949e+04,9.231e+04,1.512e+05
83.4,1.228e+04,6.879e+04,8.345e+04,1.645e+05
84.9,1.590e+04,9.335e+04,6.756e+04,1.768e+05
86.4,2.046e+04,1.234e+05,5.430e+04,1.982e+05
87.9,2.633e+04,1.621e+05,5.247e+04,2.409e+05
89.4,3.169e+04,1.837e+05,5.145e+04,2.669e+05
90.9,3.536e+04,1.828e+05,4.592e+04,2.641e+05
92.5,3.651e+04,1.714e+05,4.354e+04,2.514e+05
94.0,3.697e+04,1.622e+05,4.631e+04,2.455e+05
95.5,3.584e+04,1.517e+05,4.598e+04,2.335e+05
97.0,3.606e+04,1.425e+05,4.804e+04,2.266e+05
98.5,3.872e+04,1.312e+05,4.823e+04,2.181e+05
100.0,4.587e+04,1.257e+05,5.322e+04,2.247e+05
101.5,4.836e+04,1.111e+05,5.524e+04,2.147e+05
103.1,4.683e+04,9.418e+04,4.927e+04,1.903e+05
104.6,4.355e+04,8.114e+04,3.950e+04,1.642e+05
106.1,3.899e+04,6.692e+04,2.842e+04,1.343e+05
107.6,4.310e+04,7.028e+04,3.722e+04,1.506e+05
109.1,5.287e+04,8.489e+04,5.560e+04,1.934e+05
110.6,5.857e+04,9.235e+04,6.857e+04,2.195e+05
112.2,5.709e+04,8.863e+04,6.583e+04,2.115e+05
113.7,5.745e+04,8.865e+04,6.697e+04,2.131e+05
115.2,6.480e+04,9.916e+04,8.057e+04,2.445e+05
116.7,7.230e+04,1.103e+05,9.545e+04,2.781e+05
118.2,6.934e+04,1.082e+05,8.777e+04,2.653e+05
119.7,6.996e+04,1.117e+05,8.768e+04,2.694e+05
121.3,7.974e+04,1.269e+05,1.095e+05,3.161e+05
122.8,9.161e+04,1.412e+05,1.362e+05,3.690e+05
124.3,9.914e+04,1.472e+05,1.548e+05,4.011e+05
125.8,1.133e+05,1.583e+05,1.914e+05,4.630e+05
127.3,1.219e+05,1.619e+05,2.195e+05,5.033e+05
128.8,1.155e+05,1.589e+05,2.249e+05,4.993e+05
130.3,9.878e+04,1.378e+05,1.876e+05,4.241e+05
131.9,8.978e+04,1.163e+05,1.740e+05,3.801e+05
133.4,3.146e+04,4.000e+04,6.708e+04,1.385e+05
134.9,5.522e+03,7.499e+03,1.199e+04,2.501e+04
